file_path,file_name,file_extension,file_size_kb,image_width,image_height,aspect_ratio,mean_brightness,brightness_std,contrast_score,blur_score,edge_density,noise_score,sharpness_variation,jpeg_artifact_score,compression_ratio_estimate,contour_count,dark_pixel_ratio,white_pixel_ratio,pdf_page_count,pdf_object_count,metadata_missing_count,suspicious_creator_flag,modified_after_created_flag,visible_text_length,embedded_image_count,label,category
D:\Projects\doc-forgery-detector\data\raw\authentic\Aadhar\AIGen_Aadhar Card_4.jpg,AIGen_Aadhar Card_4.jpg,.jpg,135.1376953125,614,819,0.7496947496947497,232.66317667132,54.36865516583031,255.0,5443.2775152799295,0.08748255002326663,20.507434664383425,4319.852157466033,62.39589358010411,0.00026873500159585255,500,0.04949032147729216,0.8178063340929791,0,0,0,0,0,0,0,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\raw\authentic\Aadhar\AIGen_Aadhar Card_5.jpg,AIGen_Aadhar Card_5.jpg,.jpg,160.7119140625,614,777,0.7902187902187903,218.0475268195138,64.62129788965235,255.0,4737.4994654652055,0.12692683376722463,19.406876392210968,3495.745077692092,67.91996884102147,0.00033686716650631554,433,0.06996969049086313,0.6929747336913461,0,0,0,0,0,0,0,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\raw\authentic\Aadhar\AIGen_Aadhar Card_6.jpg,AIGen_Aadhar Card_6.jpg,.jpg,92.22265625,483,657,0.7351598173515982,197.23818662532182,44.00233514316352,243.0,1116.3629219251284,0.09877068423822444,10.06014365270125,1417.648169698242,93.63498224251649,0.00029061975114312816,275,0.03145611364789447,0.02771869120886393,0,0,0,0,0,0,0,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\raw\authentic\Aadhar\AIGen_Aadhar Card_7.jpg,AIGen_Aadhar Card_7.jpg,.jpg,69.25,681,433,1.5727482678983833,161.50904626737614,43.93405858900408,228.0,529.0946666366585,0.062189484964713625,7.552640910803961,499.89305936930185,96.18818095367477,0.00023484686627802477,605,0.08493487026618239,0.0,0,0,0,0,0,0,0,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\raw\authentic\Aadhar\Orginal-AIGen_Aadhar Card_5.jpg,Orginal-AIGen_Aadhar Card_5.jpg,.jpg,160.7119140625,614,777,0.7902187902187903,218.0475268195138,64.62129788965235,255.0,4737.4994654652055,0.12692683376722463,19.406876392210968,3495.745077692092,67.91996884102147,0.00033686716650631554,433,0.06996969049086313,0.6929747336913461,0,0,0,0,0,0,0,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\raw\authentic\Aadhar\Original-AIGen_Aadhar Card_4.jpg,Original-AIGen_Aadhar Card_4.jpg,.jpg,135.1376953125,614,819,0.7496947496947497,232.66317667132,54.36865516583031,255.0,5443.2775152799295,0.08748255002326663,20.507434664383425,4319.852157466033,62.39589358010411,0.00026873500159585255,500,0.04949032147729216,0.8178063340929791,0,0,0,0,0,0,0,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\raw\authentic\Aadhar\Original-AIGen_Aadhar Card_6.jpg,Original-AIGen_Aadhar Card_6.jpg,.jpg,92.22265625,483,657,0.7351598173515982,197.23818662532182,44.00233514316352,243.0,1116.3629219251284,0.09877068423822444,10.06014365270125,1417.648169698242,93.63498224251649,0.00029061975114312816,275,0.03145611364789447,0.02771869120886393,0,0,0,0,0,0,0,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\raw\authentic\Aadhar\Original-AIGen_Aadhar Card_7.jpg,Original-AIGen_Aadhar Card_7.jpg,.jpg,69.25,681,433,1.5727482678983833,161.50904626737614,43.93405858900408,228.0,529.0946666366585,0.062189484964713625,7.552640910803961,499.89305936930185,96.18818095367477,0.00023484686627802477,605,0.08493487026618239,0.0,0,0,0,0,0,0,0,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\raw\authentic\Bank_Statement\AIGen_Bank Stt_1.png,AIGen_Bank Stt_1.png,.png,1647.515625,1024,1536,0.6666666666666666,242.90545590718588,33.5555737824346,255.0,1695.7277996655305,0.04260444641113281,12.824060620441612,903.7909341520243,64.78077837926509,0.0010474622249603271,918,0.017284393310546875,0.8611087799072266,0,0,0,0,0,0,0,Authentic,Bank_Statement
D:\Projects\doc-forgery-detector\data\raw\authentic\Bank_Statement\AIGen_Bank Stt_3.png,AIGen_Bank Stt_3.png,.png,1887.4423828125,1536,1024,1.5,238.30454762776694,43.03017524503093,255.0,2220.1438743160293,0.04976971944173177,14.478538021801377,742.1811188208571,97.67647660340315,0.0012000035494565964,1045,0.0312798817952474,0.8424797058105469,0,0,0,0,0,0,0,Authentic,Bank_Statement
D:\Projects\doc-forgery-detector\data\raw\authentic\Bank_Statement\AIGen_Bank Stt_5.jpg,AIGen_Bank Stt_5.jpg,.jpg,125.6923828125,614,819,0.7496947496947497,238.46275349695546,43.39089014809622,255.0,6165.465185556391,0.10249450151730281,20.588606684084226,4749.454306317806,42.08264250369513,0.00024995204052868957,228,0.017481794354758523,0.8426618622058362,0,0,0,0,0,0,0,Authentic,Bank_Statement
D:\Projects\doc-forgery-detector\data\raw\authentic\Bank_Statement\AIGen_Bank Stt_8.jpg,AIGen_Bank Stt_8.jpg,.jpg,92.4189453125,656,916,0.7161572052401747,245.84741286345724,31.77614305288694,255.0,2065.482975423368,0.04582490148045585,13.423883077536738,1571.915060310967,25.559976279044694,0.00015380189801979043,1073,0.01061581371818085,0.877899004153797,0,0,0,0,0,0,0,Authentic,Bank_Statement
D:\Projects\doc-forgery-detector\data\raw\authentic\Bank_Statement\Original-AIGen_Bank Stt_1.png,Original-AIGen_Bank Stt_1.png,.png,1647.515625,1024,1536,0.6666666666666666,242.90545590718588,33.5555737824346,255.0,1695.7277996655305,0.04260444641113281,12.824060620441612,903.7909341520243,64.78077837926509,0.0010474622249603271,918,0.017284393310546875,0.8611087799072266,0,0,0,0,0,0,0,Authentic,Bank_Statement
D:\Projects\doc-forgery-detector\data\raw\authentic\Bank_Statement\Original-AIGen_Bank Stt_3.png,Original-AIGen_Bank Stt_3.png,.png,1887.4423828125,1536,1024,1.5,238.30454762776694,43.03017524503093,255.0,2220.1438743160293,0.04976971944173177,14.478538021801377,742.1811188208571,97.67647660340315,0.0012000035494565964,1045,0.0312798817952474,0.8424797058105469,0,0,0,0,0,0,0,Authentic,Bank_Statement
