file_path,file_name,file_extension,file_size_kb,image_width,image_height,aspect_ratio,mean_brightness,brightness_std,contrast_score,blur_score,edge_density,noise_score,sharpness_variation,jpeg_artifact_score,compression_ratio_estimate,contour_count,dark_pixel_ratio,white_pixel_ratio,pdf_page_count,pdf_object_count,metadata_missing_count,suspicious_creator_flag,modified_after_created_flag,visible_text_length,embedded_image_count,ocr_text_length,ocr_digit_count,ocr_special_char_count,ocr_line_count,ocr_error_flag,aadhaar_candidate_count,valid_aadhaar_candidate_count,invalid_aadhaar_candidate_count,aadhaar_has_valid_12_digit,aadhaar_has_invalid_length,aadhaar_max_candidate_length,aadhaar_min_candidate_length,pan_match_count,pan_format_valid,ocr_visible_mismatch_ratio,semantic_risk_points,critical_rule_triggered,semantic_override_forged,semantic_override_suspicious,suspicious_region_count,photo_region_anomaly_flag,photo_region_blur_ratio,photo_region_noise_difference,photo_region_brightness_std_difference,visual_anomaly_count,compression_anomaly_count,structural_anomaly_count,metadata_anomaly_count,semantic_anomaly_count,photo_region_anomaly_count,total_anomaly_count,document_type,label,category
D:\Projects\doc-forgery-detector\data\retrain_raw\authentic\Aadhar\TD_10_Original_Aadharcard.jpg,TD_10_Original_Aadharcard.jpg,.jpg,52.73046875,268,643,0.416796267496112,180.47366588519301,41.26933291535327,236.0,1502.2826454466642,0.10692648731459344,9.96793614855502,991.0725983756499,90.23412978933975,0.00030599608150925004,192,0.0280924305378241,0.0,0,0,0,0,0,0,0,196,33,7,16,0,2,2,0,1,0,12,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,2,Aadhaar,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\retrain_raw\authentic\Aadhar\TD_11_Original_Aadharcard.jpg,TD_11_Original_Aadharcard.jpg,.jpg,47.4609375,252,630,0.4,189.29550894431847,38.01199645525368,217.0,1222.629303146207,0.10973796926177878,9.08720140610735,2511.148797406557,86.33901689708141,0.00029894770408163266,252,0.014852607709750568,0.0,0,0,0,0,0,0,0,160,36,6,14,0,2,2,0,1,0,12,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,3,Aadhaar,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\retrain_raw\authentic\Aadhar\TD_12_Original_Aadharcard.jpg,TD_12_Original_Aadharcard.jpg,.jpg,43.3095703125,232,584,0.3972602739726027,166.19185462919225,45.54146346663328,230.0,2193.0692112296915,0.11745689655172414,12.233791351312444,1172.2382237297818,77.40203033268102,0.0003196561342148382,1,0.0778592938119981,0.0,0,0,0,0,0,0,0,120,27,10,9,0,2,1,1,1,1,13,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,0,0,0,0,4,Aadhaar,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\retrain_raw\authentic\Aadhar\TD_13_Original_Aadharcard.jpg,TD_13_Original_Aadharcard.jpg,.jpg,83.1796875,893,598,1.4933110367892977,222.27590475156083,44.09110613057603,232.0,163.87201653434212,0.03785481279517017,4.66334424730653,136.48927611898478,71.71177197264154,0.00015576312137884025,290,0.026237139850266097,0.5850502046762819,0,0,0,0,0,0,0,196,33,8,11,0,1,1,0,1,0,12,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,Aadhaar,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\retrain_raw\authentic\Aadhar\TD_14_Original_Aadharcard.jpg,TD_14_Original_Aadharcard.jpg,.jpg,77.0224609375,390,497,0.7847082494969819,216.8200123819842,62.40885315921993,255.0,6584.384367086563,0.1495279368518805,20.42709177148906,4093.3553110855614,76.2398138832998,0.00039737120640509727,300,0.05830882732291183,0.663731104576175,0,0,0,0,0,0,0,601,43,29,23,0,2,2,0,1,0,12,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,3,Aadhaar,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\retrain_raw\authentic\Aadhar\TD_15_Original_Aadharcard.jpg,TD_15_Original_Aadharcard.jpg,.jpg,126.1455078125,429,560,0.7660714285714286,187.81408175158174,56.82159421180067,255.0,4865.48467555692,0.1657967032967033,16.956694368928964,3137.978960098473,117.22240566037736,0.0005250812013507326,546,0.06697052947052948,0.17723526473526474,0,0,0,0,0,0,0,608,45,45,22,0,2,2,0,1,0,12,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,3,Aadhaar,Authentic,Aadhar
D:\Projects\doc-forgery-detector\data\retrain_raw\forged\Aadhar\TD_1_Forged_Aadharcard.jpg,TD_1_Forged_Aadharcard.jpg,.jpg,44.3271484375,232,584,0.3972602739726027,166.06741556447804,46.510359341922324,255.0,2237.0076343640667,0.11964159187529523,12.539185597178522,1150.6460503295173,78.71416340508806,0.00032716660100894546,154,0.0814758502598016,0.0017123287671232876,0,0,0,0,0,0,0,87,42,9,10,0,2,1,1,1,1,16,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,0,0,0,0,4,Aadhaar,Forged,Aadhar
D:\Projects\doc-forgery-detector\data\retrain_raw\forged\Aadhar\TD_2_Forged_Aadharcard.jpg,TD_2_Forged_Aadharcard.jpg,.jpg,43.4130859375,232,584,0.3972602739726027,164.69782563769485,48.19623495915076,255.0,2155.3679481524705,0.11758236891828058,12.395466727086278,1158.8533821109395,77.6489114481409,0.00032042015482920997,154,0.08709258384506377,0.0017123287671232876,0,0,0,0,0,0,0,107,28,8,10,0,2,1,1,1,1,16,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,0,0,0,0,4,Aadhaar,Forged,Aadhar
D:\Projects\doc-forgery-detector\data\retrain_raw\forged\Aadhar\TD_3_Forged_Aadharcard.jpg,TD_3_Forged_Aadharcard.jpg,.jpg,44.173828125,236,584,0.4041095890410959,166.53116293243556,46.80287924905791,254.0,2516.576820727108,0.12237346180636173,13.684684290792127,1245.2352375269497,78.46250590458196,0.00032050896886609006,1,0.07971761086603205,0.010172393777571396,0,0,0,0,0,0,0,88,23,8,9,0,1,0,1,0,1,14,14,0,0,0.0,80,1,1,0,0,0,0.0,0.0,0.0,3,1,0,0,1,0,5,Aadhaar,Forged,Aadhar
D:\Projects\doc-forgery-detector\data\retrain_raw\forged\Aadhar\TD_4_Forged_Aadharcard.jpg,TD_4_Forged_Aadharcard.jpg,.jpg,42.7099609375,234,584,0.4006849315068493,167.51765747570542,46.3312306520683,254.0,2326.786926944017,0.11509190961245756,12.960862103602318,1229.5301080328534,77.4589631554086,0.0003125363023760391,148,0.07642547711040862,0.014510888654724271,0,0,0,0,0,0,0,73,29,13,9,0,2,1,1,1,1,13,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,0,0,0,0,4,Aadhaar,Forged,Aadhar
